budget_total,days,travelers,month,travel_mode,road_option,primary_circuit,transport_type,scope,bppd,tier,pace,label
158716,4,2,8,ROAD,BABUSAR,SKARDU_SIDE,OWN,LOOP,19839.5,LUX,FAST,PLAN_SKARDU_KKH_SHORT
1168744,8,5,11,AIR,NONE,SKARDU_SIDE,OWN,SINGLE,29218.6,LUX,NORMAL,PLAN_SKARDU_AIR
511402,16,2,10,AIR,NONE,SKARDU_SIDE,PUBLIC,SINGLE,15981.31,LUX,RELAXED,PLAN_SKARDU_AIR
903837,16,3,12,ROAD,KKH,SKARDU_SIDE,OWN,SINGLE,18829.94,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
360304,10,3,3,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,12010.13,LUX,RELAXED,PLAN_HUNZA_KKH_LONG
270180,9,1,7,AIR,NONE,SKARDU_SIDE,OWN,SINGLE,30020.0,LUX,RELAXED,PLAN_SKARDU_AIR
240109,5,6,6,ROAD,KKH,HUNZA_SIDE,PUBLIC,LOOP,8003.63,MID,NORMAL,PLAN_HUNZA_KKH_SHORT
806035,15,4,11,ROAD,KKH,HUNZA_SIDE,OWN,LOOP,13433.92,LUX,RELAXED,PLAN_LOOP_KKH
1461015,17,7,10,ROAD,KKH,SKARDU_SIDE,OWN,SINGLE,12277.44,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
796066,13,5,5,ROAD,KKH,HUNZA_SIDE,OWN,LOOP,12247.17,LUX,RELAXED,PLAN_LOOP_KKH
217457,5,3,5,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,14497.13,LUX,NORMAL,PLAN_HUNZA_KKH_SHORT
116539,6,4,11,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,4855.79,BUDGET,NORMAL,PLAN_HUNZA_KKH_SHORT
20357,3,1,11,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,6785.67,MID,FAST,PLAN_SKARDU_KKH_SHORT
130787,3,4,2,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,10898.92,MID,FAST,PLAN_HUNZA_KKH_SHORT
2359370,10,7,8,ROAD,KKH,SKARDU_SIDE,OWN,SINGLE,33705.29,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
321604,7,2,11,AIR,NONE,HUNZA_SIDE,OWN,SINGLE,22971.71,LUX,NORMAL,PLAN_HUNZA_AIR
97580,3,4,5,ROAD,KKH,SKARDU_SIDE,PUBLIC,LOOP,8131.67,MID,FAST,PLAN_SKARDU_KKH_SHORT
130788,3,4,8,ROAD,KKH,SKARDU_SIDE,OWN,SINGLE,10899.0,MID,FAST,PLAN_SKARDU_KKH_SHORT
1054103,16,5,4,ROAD,KKH,SKARDU_SIDE,PUBLIC,LOOP,13176.29,LUX,RELAXED,PLAN_LOOP_KKH
1068093,20,3,12,ROAD,KKH,HUNZA_SIDE,PUBLIC,LOOP,17801.55,LUX,RELAXED,PLAN_LOOP_KKH
744061,13,5,9,ROAD,KKH,HUNZA_SIDE,PUBLIC,LOOP,11447.09,MID,RELAXED,PLAN_LOOP_KKH
625092,21,2,6,ROAD,KKH,HUNZA_SIDE,OWN,LOOP,14883.14,LUX,RELAXED,PLAN_LOOP_KKH
429111,12,2,9,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,17879.62,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
642375,18,4,1,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,8921.88,MID,RELAXED,PLAN_HUNZA_KKH_LONG
262072,4,2,7,AIR,NONE,SKARDU_SIDE,OWN,SINGLE,32759.0,LUX,FAST,PLAN_SKARDU_AIR
1233369,19,6,3,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,10819.03,MID,RELAXED,PLAN_HUNZA_KKH_LONG
220231,6,4,2,ROAD,KKH,SKARDU_SIDE,OWN,SINGLE,9176.29,MID,NORMAL,PLAN_SKARDU_KKH_SHORT
2524733,10,6,6,ROAD,BABUSAR,SKARDU_SIDE,OWN,SINGLE,42078.88,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
686035,20,4,12,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,8575.44,MID,RELAXED,PLAN_HUNZA_KKH_LONG
736215,15,5,1,ROAD,KKH,SKARDU_SIDE,OWN,SINGLE,9816.2,MID,RELAXED,PLAN_SKARDU_KKH_LONG
944388,18,6,1,ROAD,KKH,HUNZA_SIDE,PUBLIC,LOOP,8744.33,MID,RELAXED,PLAN_LOOP_KKH
48180,6,1,12,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,8030.0,MID,NORMAL,PLAN_HUNZA_KKH_SHORT
559323,6,6,5,ROAD,BABUSAR,HUNZA_SIDE,OWN,SINGLE,15536.75,LUX,NORMAL,PLAN_HUNZA_KKH_SHORT
667193,18,1,2,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,37066.28,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
175311,4,6,1,ROAD,KKH,SKARDU_SIDE,PUBLIC,LOOP,7304.62,MID,FAST,PLAN_SKARDU_KKH_SHORT
781143,7,6,11,AIR,NONE,SKARDU_SIDE,OWN,SINGLE,18598.64,LUX,NORMAL,PLAN_SKARDU_AIR
1342781,21,3,11,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,21313.98,LUX,RELAXED,PLAN_HUNZA_KKH_LONG
1892427,21,4,5,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,22528.89,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
223424,7,3,2,ROAD,KKH,SKARDU_SIDE,OWN,SINGLE,10639.24,MID,NORMAL,PLAN_SKARDU_KKH_SHORT
234290,5,5,11,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,9371.6,MID,NORMAL,PLAN_SKARDU_KKH_SHORT
312224,4,5,3,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,15611.2,LUX,FAST,PLAN_SKARDU_KKH_SHORT
2175084,19,5,4,ROAD,KKH,SKARDU_SIDE,OWN,LOOP,22895.62,LUX,RELAXED,PLAN_LOOP_KKH
368018,16,2,3,AIR,NONE,HUNZA_SIDE,OWN,SINGLE,11500.56,MID,RELAXED,PLAN_HUNZA_AIR
368617,8,7,1,ROAD,KKH,SKARDU_SIDE,OWN,SINGLE,6582.45,MID,NORMAL,PLAN_SKARDU_KKH_SHORT
1998188,6,6,7,AIR,NONE,SKARDU_SIDE,PUBLIC,SINGLE,55505.22,LUX,NORMAL,PLAN_SKARDU_AIR
245670,3,7,4,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,11698.57,MID,FAST,PLAN_HUNZA_KKH_SHORT
94634,4,3,8,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,7886.17,MID,FAST,PLAN_SKARDU_KKH_SHORT
1720054,9,7,1,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,27302.44,LUX,RELAXED,PLAN_HUNZA_KKH_LONG
103145,4,1,5,AIR,NONE,HUNZA_SIDE,PUBLIC,SINGLE,25786.25,LUX,FAST,PLAN_HUNZA_AIR
137895,3,4,9,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,11491.25,MID,FAST,PLAN_SKARDU_KKH_SHORT
330216,11,2,3,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,15009.82,LUX,RELAXED,PLAN_HUNZA_KKH_LONG
854139,18,1,7,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,47452.17,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
205674,5,5,7,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,8226.96,MID,NORMAL,PLAN_SKARDU_KKH_SHORT
710184,19,4,11,ROAD,KKH,SKARDU_SIDE,OWN,SINGLE,9344.53,MID,RELAXED,PLAN_SKARDU_KKH_LONG
959041,4,5,6,AIR,NONE,SKARDU_SIDE,OWN,SINGLE,47952.05,LUX,FAST,PLAN_SKARDU_AIR
3471294,20,7,10,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,24794.96,LUX,RELAXED,PLAN_HUNZA_KKH_LONG
3497379,16,6,8,AIR,NONE,HUNZA_SIDE,PUBLIC,SINGLE,36431.03,LUX,RELAXED,PLAN_HUNZA_AIR
1754695,11,6,10,ROAD,BABUSAR,SKARDU_SIDE,OWN,SINGLE,26586.29,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
823623,11,3,8,ROAD,BABUSAR,HUNZA_SIDE,OWN,SINGLE,24958.27,LUX,RELAXED,PLAN_HUNZA_KKH_LONG
229966,6,3,8,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,12775.89,LUX,NORMAL,PLAN_HUNZA_KKH_SHORT
1278042,19,7,10,ROAD,KKH,SKARDU_SIDE,OWN,LOOP,9609.34,MID,RELAXED,PLAN_LOOP_KKH
1973768,17,6,7,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,19350.67,LUX,RELAXED,PLAN_HUNZA_KKH_LONG
2116411,14,7,5,ROAD,BABUSAR,HUNZA_SIDE,PUBLIC,SINGLE,21596.03,LUX,RELAXED,PLAN_HUNZA_KKH_LONG
594955,12,2,6,ROAD,KKH,SKARDU_SIDE,OWN,SINGLE,24789.79,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
1211794,12,3,10,AIR,NONE,HUNZA_SIDE,PUBLIC,SINGLE,33660.94,LUX,RELAXED,PLAN_HUNZA_AIR
224615,3,7,12,ROAD,KKH,HUNZA_SIDE,OWN,LOOP,10695.95,MID,FAST,PLAN_HUNZA_KKH_SHORT
186615,6,6,12,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,5183.75,MID,NORMAL,PLAN_HUNZA_KKH_SHORT
311058,12,1,10,ROAD,KKH,HUNZA_SIDE,OWN,LOOP,25921.5,LUX,RELAXED,PLAN_LOOP_KKH
745965,6,3,5,AIR,NONE,SKARDU_SIDE,PUBLIC,SINGLE,41442.5,LUX,NORMAL,PLAN_SKARDU_AIR
2786486,10,6,7,AIR,NONE,HUNZA_SIDE,OWN,SINGLE,46441.43,LUX,RELAXED,PLAN_HUNZA_AIR
134470,5,3,11,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,8964.67,MID,NORMAL,PLAN_SKARDU_KKH_SHORT
669545,17,5,2,ROAD,KKH,HUNZA_SIDE,PUBLIC,LOOP,7877.0,MID,RELAXED,PLAN_HUNZA_KKH_LONG
1254059,15,7,12,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,11943.42,MID,RELAXED,PLAN_SKARDU_KKH_LONG
124529,5,2,10,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,12452.9,LUX,NORMAL,PLAN_HUNZA_KKH_SHORT
1774244,16,3,10,AIR,NONE,HUNZA_SIDE,PUBLIC,SINGLE,36963.42,LUX,RELAXED,PLAN_HUNZA_AIR
659149,10,4,10,AIR,NONE,HUNZA_SIDE,PUBLIC,SINGLE,16478.72,LUX,RELAXED,PLAN_HUNZA_AIR
934049,15,6,3,ROAD,KKH,SKARDU_SIDE,PUBLIC,LOOP,10378.32,MID,RELAXED,PLAN_LOOP_KKH
34539,6,1,2,ROAD,KKH,SKARDU_SIDE,PUBLIC,LOOP,5756.5,MID,NORMAL,PLAN_SKARDU_KKH_SHORT
2040136,17,7,12,ROAD,KKH,SKARDU_SIDE,OWN,SINGLE,17144.0,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
99821,9,1,12,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,11091.22,MID,RELAXED,PLAN_HUNZA_KKH_LONG
257249,6,4,3,ROAD,KKH,HUNZA_SIDE,PUBLIC,LOOP,10718.71,MID,NORMAL,PLAN_HUNZA_KKH_SHORT
224693,8,4,5,ROAD,KKH,SKARDU_SIDE,OWN,SINGLE,7021.66,MID,NORMAL,PLAN_SKARDU_KKH_SHORT
2779721,19,7,5,ROAD,KKH,SKARDU_SIDE,OWN,LOOP,20900.16,LUX,RELAXED,PLAN_LOOP_KKH
1084073,21,5,11,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,10324.5,MID,RELAXED,PLAN_HUNZA_KKH_LONG
304810,5,1,4,AIR,NONE,HUNZA_SIDE,PUBLIC,SINGLE,60962.0,LUX,NORMAL,PLAN_HUNZA_AIR
1095263,12,3,1,AIR,NONE,SKARDU_SIDE,OWN,SINGLE,30423.97,LUX,RELAXED,PLAN_SKARDU_AIR
219303,3,7,1,ROAD,KKH,HUNZA_SIDE,PUBLIC,LOOP,10443.0,MID,FAST,PLAN_HUNZA_KKH_SHORT
967830,9,4,3,AIR,NONE,SKARDU_SIDE,OWN,SINGLE,26884.17,LUX,RELAXED,PLAN_SKARDU_AIR
1374124,8,7,2,AIR,NONE,SKARDU_SIDE,PUBLIC,SINGLE,24537.93,LUX,NORMAL,PLAN_SKARDU_AIR
120879,4,2,1,ROAD,KKH,HUNZA_SIDE,OWN,LOOP,15109.88,LUX,FAST,PLAN_HUNZA_KKH_SHORT
1141182,19,6,11,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,10010.37,MID,RELAXED,PLAN_SKARDU_KKH_LONG
1084375,15,7,10,ROAD,KKH,HUNZA_SIDE,PUBLIC,LOOP,10327.38,MID,RELAXED,PLAN_LOOP_KKH
1177916,20,5,9,ROAD,KKH,SKARDU_SIDE,OWN,SINGLE,11779.16,MID,RELAXED,PLAN_SKARDU_KKH_LONG
596136,21,3,11,ROAD,KKH,HUNZA_SIDE,OWN,LOOP,9462.48,MID,RELAXED,PLAN_LOOP_KKH
517185,11,2,2,AIR,NONE,HUNZA_SIDE,OWN,SINGLE,23508.41,LUX,RELAXED,PLAN_HUNZA_AIR
2335992,8,7,8,ROAD,BABUSAR,HUNZA_SIDE,PUBLIC,SINGLE,41714.14,LUX,NORMAL,PLAN_HUNZA_KKH_LONG
749992,5,4,3,AIR,NONE,SKARDU_SIDE,OWN,SINGLE,37499.6,LUX,NORMAL,PLAN_SKARDU_AIR
2448278,19,7,8,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,18408.11,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
372232,8,7,9,ROAD,KKH,SKARDU_SIDE,OWN,SINGLE,6647.0,MID,NORMAL,PLAN_SKARDU_KKH_SHORT
231730,6,4,6,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,9655.42,MID,NORMAL,PLAN_HUNZA_KKH_SHORT
131543,6,1,1,AIR,NONE,SKARDU_SIDE,OWN,SINGLE,21923.83,LUX,NORMAL,PLAN_SKARDU_AIR
3381343,14,5,7,AIR,NONE,HUNZA_SIDE,OWN,SINGLE,48304.9,LUX,RELAXED,PLAN_HUNZA_AIR
1288425,21,6,5,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,10225.6,MID,RELAXED,PLAN_HUNZA_KKH_LONG
546560,4,6,12,AIR,NONE,SKARDU_SIDE,PUBLIC,SINGLE,22773.33,LUX,FAST,PLAN_SKARDU_AIR
1177409,16,6,8,ROAD,BABUSAR,HUNZA_SIDE,OWN,SINGLE,12264.68,LUX,RELAXED,PLAN_HUNZA_KKH_LONG
1135049,17,3,5,ROAD,KKH,SKARDU_SIDE,PUBLIC,LOOP,22255.86,LUX,RELAXED,PLAN_LOOP_KKH
57853,8,1,6,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,7231.62,MID,NORMAL,PLAN_SKARDU_KKH_SHORT
147279,5,6,1,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,4909.3,BUDGET,NORMAL,PLAN_HUNZA_KKH_SHORT
526031,11,3,9,AIR,NONE,SKARDU_SIDE,PUBLIC,SINGLE,15940.33,LUX,RELAXED,PLAN_SKARDU_AIR
239457,5,1,9,AIR,NONE,HUNZA_SIDE,PUBLIC,SINGLE,47891.4,LUX,NORMAL,PLAN_HUNZA_AIR
96388,3,5,10,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,6425.87,MID,FAST,PLAN_HUNZA_KKH_SHORT
254434,4,5,5,ROAD,BABUSAR,SKARDU_SIDE,PUBLIC,SINGLE,12721.7,LUX,FAST,PLAN_SKARDU_KKH_SHORT
27633,4,1,9,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,6908.25,MID,FAST,PLAN_SKARDU_KKH_SHORT
951085,18,2,7,ROAD,BABUSAR,HUNZA_SIDE,OWN,SINGLE,26419.03,LUX,RELAXED,PLAN_HUNZA_KKH_LONG
1390338,15,6,3,AIR,NONE,HUNZA_SIDE,PUBLIC,SINGLE,15448.2,LUX,RELAXED,PLAN_HUNZA_AIR
749290,16,4,7,ROAD,BABUSAR,SKARDU_SIDE,PUBLIC,SINGLE,11707.66,MID,RELAXED,PLAN_SKARDU_KKH_LONG
79243,8,2,12,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,4952.69,BUDGET,NORMAL,PLAN_SKARDU_KKH_SHORT
59283,6,2,1,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,4940.25,BUDGET,NORMAL,PLAN_SKARDU_KKH_SHORT
1300112,7,7,4,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,26532.9,LUX,NORMAL,PLAN_HUNZA_KKH_LONG
361490,17,1,4,ROAD,KKH,HUNZA_SIDE,PUBLIC,LOOP,21264.12,LUX,RELAXED,PLAN_LOOP_KKH
1064065,21,1,3,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,50669.76,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
352694,8,3,4,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,14695.58,LUX,NORMAL,PLAN_SKARDU_KKH_SHORT
1023857,20,5,12,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,10238.57,MID,RELAXED,PLAN_SKARDU_KKH_LONG
87192,6,1,11,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,14532.0,LUX,NORMAL,PLAN_HUNZA_KKH_SHORT
1729640,8,6,9,AIR,NONE,HUNZA_SIDE,PUBLIC,SINGLE,36034.17,LUX,NORMAL,PLAN_HUNZA_AIR
113535,4,3,12,ROAD,KKH,SKARDU_SIDE,OWN,SINGLE,9461.25,MID,FAST,PLAN_SKARDU_KKH_SHORT
678091,4,6,9,AIR,NONE,HUNZA_SIDE,OWN,SINGLE,28253.79,LUX,FAST,PLAN_HUNZA_AIR
179791,5,6,5,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,5993.03,MID,NORMAL,PLAN_HUNZA_KKH_SHORT
248604,9,3,1,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,9207.56,MID,RELAXED,PLAN_HUNZA_KKH_LONG
186193,14,1,5,ROAD,KKH,HUNZA_SIDE,PUBLIC,LOOP,13299.5,LUX,RELAXED,PLAN_LOOP_KKH
1075930,20,5,10,ROAD,KKH,SKARDU_SIDE,PUBLIC,LOOP,10759.3,MID,RELAXED,PLAN_LOOP_KKH
77675,6,2,6,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,6472.92,MID,NORMAL,PLAN_HUNZA_KKH_SHORT
843175,12,2,9,AIR,NONE,HUNZA_SIDE,OWN,SINGLE,35132.29,LUX,RELAXED,PLAN_HUNZA_AIR
1367373,9,6,10,AIR,NONE,SKARDU_SIDE,PUBLIC,SINGLE,25321.72,LUX,RELAXED,PLAN_SKARDU_AIR
448941,5,5,9,AIR,NONE,HUNZA_SIDE,PUBLIC,SINGLE,17957.64,LUX,NORMAL,PLAN_HUNZA_AIR
1345401,9,5,7,AIR,NONE,HUNZA_SIDE,PUBLIC,SINGLE,29897.8,LUX,RELAXED,PLAN_HUNZA_AIR
365644,18,2,2,ROAD,KKH,HUNZA_SIDE,PUBLIC,LOOP,10156.78,MID,RELAXED,PLAN_LOOP_KKH
298553,6,2,3,AIR,NONE,SKARDU_SIDE,OWN,SINGLE,24879.42,LUX,NORMAL,PLAN_SKARDU_AIR
408745,18,2,3,ROAD,KKH,SKARDU_SIDE,PUBLIC,LOOP,11354.03,MID,RELAXED,PLAN_LOOP_KKH
162548,4,2,9,ROAD,KKH,HUNZA_SIDE,OWN,LOOP,20318.5,LUX,FAST,PLAN_HUNZA_KKH_SHORT
305185,12,1,1,ROAD,KKH,SKARDU_SIDE,OWN,SINGLE,25432.08,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
4712584,12,6,6,AIR,NONE,HUNZA_SIDE,PUBLIC,SINGLE,65452.56,LUX,RELAXED,PLAN_HUNZA_AIR
